States.UTs,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,FirstQuarter,SecondQuarter,ThirdQuarter,FourthQuarter,ANNUAL
Andaman & Nicobar Islands,1901,49.2,87.1,29.2,2.3,528.8,517.5,365.1,481.1,332.6,388.5,558.2,33.6,165.5,1048.6,1178.8,980.3,3373.2
Andaman & Nicobar Islands,1902,0,159.8,12.2,0,446.1,537.1,228.9,753.7,666.2,197.2,359,160.5,172,983.2,1648.8,716.7,3520.7
Andaman & Nicobar Islands,1903,12.7,144,0,1,235.1,479.9,728.4,326.7,339,181.2,284.4,225,156.7,716,1394.1,690.6,2957.4
Andaman & Nicobar Islands,1904,9.4,14.7,0,202.4,304.5,495.1,502,160.1,820.4,222.2,308.7,40.1,24.1,1002,1482.5,571,3079.6
Andaman & Nicobar Islands,1905,1.3,0,3.3,26.9,279.5,628.7,368.7,330.5,297,260.7,25.4,344.7,4.6,935.1,996.2,630.8,2566.7
Andaman & Nicobar Islands,1906,36.6,0,0,0,556.1,733.3,247.7,320.5,164.3,267.8,128.9,79.2,36.6,1289.4,732.5,475.9,2534.4
Andaman & Nicobar Islands,1907,110.7,0,113.3,21.6,616.3,305.2,443.9,377.6,200.4,264.4,648.9,245.6,224,943.1,1021.9,1158.9,3347.9
Andaman & Nicobar Islands,1908,20.9,85.1,0,29,562,693.6,481.4,699.9,428.8,170.7,208.1,196.9,106,1284.6,1610.1,575.7,3576.4
Andaman & Nicobar Islands,1910,26.6,22.7,206.3,89.3,224.5,472.7,264.3,337.4,626.6,208.2,267.3,153.5,255.6,786.5,1228.3,629,2899.4
Andaman & Nicobar Islands,1911,0,8.4,0,122.5,327.3,649,253,187.1,464.5,333.8,94.5,247.1,8.4,1098.8,904.6,675.4,2687.2
Andaman & Nicobar Islands,1912,583.7,0.8,0,21.9,140.7,549.8,468.9,370.3,386.2,318.7,117.2,2.3,584.5,712.4,1225.4,438.2,2960.5
Andaman & Nicobar Islands,1913,84.8,0.5,1.3,2.5,190.7,530,280.8,205.8,580.1,288.8,133,67.5,86.6,723.2,1066.7,489.3,2365.8
Andaman & Nicobar Islands,1914,0,0,0,37.7,298.8,383.3,792.8,520.5,310.8,139.8,184.4,289.7,0,719.8,1624.1,613.9,2957.8
Andaman & Nicobar Islands,1915,45,56.7,33.3,40.9,170.2,334.7,269,317.2,429.8,468.1,258.4,318,135,545.8,1016,1044.5,2741.3
Andaman & Nicobar Islands,1916,0,0,0,0.5,487.4,450.1,317.3,425,561.2,369.7,192.6,133.7,0,938,1303.5,696,2937.5
Andaman & Nicobar Islands,1917,8,3.6,112,4.5,295.9,301.1,394.8,437.4,471.8,238.1,108.3,236.9,123.6,601.5,1304,583.3,2612.4
Andaman & Nicobar Islands,1918,77.4,6.9,11.4,10.7,729.3,710.8,200.9,455.4,303.3,227,366.9,175,95.7,1450.8,959.6,768.9,3275
Andaman & Nicobar Islands,1919,10.2,18,0,35.5,283.9,542.5,246.5,259.8,170.7,186.2,340.4,258.4,28.2,861.9,677,785,2352.1
Andaman & Nicobar Islands,1920,122.3,7.4,3.1,13,237.4,546.9,294.4,467.4,505.4,397.5,262.9,85.5,132.8,797.3,1267.2,745.9,2943.2
Andaman & Nicobar Islands,1921,13.2,3.1,0,37.5,351.2,282.7,487.1,330,581.2,360.7,118.2,41.5,16.3,671.4,1398.3,520.4,2606.4
Andaman & Nicobar Islands,1922,245.3,34.3,15.6,323.1,289.7,506.1,425.8,307.4,511.7,162,541,192.2,295.2,1118.9,1244.9,895.2,3554.2
Andaman & Nicobar Islands,1923,79.5,0,31.59,91.3,293.5,808.4,636.9,182.2,560.5,131.9,197.4,70.6,111.09,1193.2,1379.6,399.9,3083.79
Andaman & Nicobar Islands,1924,28.7,0,14.8,89.7,191.2,261.2,493.3,290.9,251.2,331.1,378.6,157.47,43.5,542.1,1035.4,867.17,2488.17
Andaman & Nicobar Islands,1925,36.6,0,8.6,50.4,282.2,663.8,241.8,278.2,201.9,249.5,271.5,196,45.2,996.4,721.9,717,2480.5
Andaman & Nicobar Islands,1926,122.1,0,0,0.5,198.4,370,195.3,523.7,719.3,443.8,148.4,560.7,122.1,568.9,1438.3,1152.9,3282.2
Andaman & Nicobar Islands,1927,3,17.5,17.8,108.6,504.1,433.3,195.2,370.1,126.2,327.5,274.1,65.5,38.3,1046,691.5,667.1,2442.9
Andaman & Nicobar Islands,1928,50.9,67.6,80.7,129.3,499.5,410.2,406.3,391.5,404.8,444.5,99.5,13.5,199.2,1039,1202.6,557.5,2998.3
Andaman & Nicobar Islands,1929,74.2,118.4,129.2,69.8,316.6,588.8,134,644.7,172.9,413,251.5,13.5,321.8,975.2,951.6,678,2926.6
Andaman & Nicobar Islands,1930,87.4,105.4,131.2,10.9,231.5,533.6,317.9,446.7,677.2,82.3,249.4,201.6,324,776,1441.8,533.3,3075.1
Andaman & Nicobar Islands,1931,25.3,0,2.5,2.5,205.4,393.5,289.3,571,294.4,368.3,22.8,182.7,27.8,601.4,1154.7,573.8,2357.7
Andaman & Nicobar Islands,1932,2.8,2.5,10.1,58.2,479.7,470.08,399.05,398.61,440.38,289.99,233.02,157.47,15.4,1007.98,1238.04,680.48,2941.9
Andaman & Nicobar Islands,1933,4.5,11.7,8.1,58.4,365.4,544.2,376.6,294.1,759,239.8,268.8,56.9,24.3,968,1429.7,565.5,2987.5
Andaman & Nicobar Islands,1934,7.3,172.9,6.9,131.4,62,708.4,323.5,924.9,761.1,338.1,240.2,46.1,187.1,901.8,2009.5,624.4,3722.8
Andaman & Nicobar Islands,1935,6.6,0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4,7.1,1234.5,1359.2,553.2,3154
Andaman & Nicobar Islands,1936,16.5,15.3,116.5,71.92,194.3,498.3,664.8,562.9,383.8,174.9,199.2,212.2,148.3,764.52,1611.5,586.3,3110.62
Andaman & Nicobar Islands,1937,21.6,10.7,0,112,330.5,732.8,449.5,332,349.5,383.3,251.7,617.5,32.3,1175.3,1131,1252.5,3591.1
Andaman & Nicobar Islands,1938,13.4,57.2,50.5,101.6,368.9,668.6,318.2,397.1,546.7,318.4,316.3,107.5,121.1,1139.1,1262,742.2,3264.4
Andaman & Nicobar Islands,1939,54.1,1.5,16.1,77.3,480.5,541,335.6,202.8,512.5,263.9,165.9,131.3,71.7,1098.8,1050.9,561.1,2782.5
Andaman & Nicobar Islands,1940,0.5,2.8,59.4,0,320.7,335.4,268.1,889.2,477.5,114.1,221,318.8,62.7,656.1,1634.8,653.9,3007.5
Andaman & Nicobar Islands,1941,0,12.8,0,77.8,251.9,497,302.5,311.9,516,382.8,266,279.5,12.8,826.7,1130.4,928.3,2898.2
Andaman & Nicobar Islands,1942,39.2,7.4,31.59,71.92,354.83,470.08,399.05,398.61,440.38,289.99,233.02,157.47,78.19,896.83,1238.04,680.48,2893.54
Andaman & Nicobar Islands,1946,84.4,3.6,21.1,135.2,309.1,535.9,189,367.4,478.3,276.9,146.9,243.8,109.1,980.2,1034.7,667.6,2791.6
Andaman & Nicobar Islands,1947,25.1,111.1,63.2,127.7,206.3,965.6,490,293.7,440.38,376,67.5,168.6,199.4,1299.6,1224.08,612.1,3335.18
Andaman & Nicobar Islands,1949,0,56.4,0,166.5,405.8,658.4,743.3,404,627.5,339.6,81.1,7,56.4,1230.7,1774.8,427.7,3489.6
Andaman & Nicobar Islands,1950,0.8,0,0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4,0.8,729.6,1208.5,483.3,2422.2
Andaman & Nicobar Islands,1951,82.7,7.2,0,45.4,259,619.9,665.3,101.3,360.9,489,209.6,434.8,89.9,924.3,1127.5,1133.4,3275.1
Andaman & Nicobar Islands,1952,0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2,70.5,1150,1167.1,692.3,3079.9
Andaman & Nicobar Islands,1953,56,65.3,20.1,159.4,241.1,549.9,444.4,262.8,370.1,243.6,246,63.3,141.4,950.4,1077.3,552.9,2722
Andaman & Nicobar Islands,1954,83.8,2.1,34.3,58,394.7,539.4,510.8,605.4,763.8,247.2,84.8,124.7,120.2,992.1,1880,456.7,3449
Andaman & Nicobar Islands,1955,57.3,28.2,9.9,68.8,663.6,651.1,298.4,356.9,341.8,466.5,362.9,44.2,95.4,1383.5,997.1,873.6,3349.6
Andaman & Nicobar Islands,1956,49.2,77.2,33.8,130.3,491.8,343.1,468.4,467.7,325.1,458.7,164.1,70.5,160.2,965.2,1261.2,693.3,3079.9
Andaman & Nicobar Islands,1957,28,19.3,4.6,19,142.4,741.9,316.2,421.3,354.3,299.7,88.6,71.9,51.9,903.3,1091.8,460.2,2507.2
Andaman & Nicobar Islands,1958,22.9,14.3,30.4,24.6,355.1,530.7,440.7,388.4,350.6,265.2,313.8,70.7,67.6,910.4,1179.7,649.7,2807.4
Andaman & Nicobar Islands,1959,10.1,1.8,31.3,86.7,238.1,455.7,817.1,409.3,589.6,332.7,242.5,128.5,43.2,780.5,1816,703.7,3343.4
Andaman & Nicobar Islands,1960,104.2,72.4,12.1,53.5,535.4,541.5,308.4,270.7,442.4,400,191.7,92.8,188.7,1130.4,1021.5,684.5,3025.1
Andaman & Nicobar Islands,1961,82.1,99.4,33.2,88.1,973.1,383.3,304.9,557.1,612,379.9,280.6,144.5,214.7,1444.5,1474,805,3938.2
Andaman & Nicobar Islands,1962,152.4,14.9,17.3,46.4,310.4,367.7,409.1,420.6,474.5,259.8,101.7,384.9,184.6,724.5,1304.2,746.4,2959.7
Andaman & Nicobar Islands,1963,79.9,26.8,7.4,69.5,259.9,434.7,303.3,601.2,614.3,295.5,109.3,179.9,114.1,764.1,1518.8,584.7,2981.7
Andaman & Nicobar Islands,1964,65.5,21.9,3.1,18.1,530.6,465.3,287.3,472.1,521.2,218.9,349.2,101.6,90.5,1014,1280.6,669.7,3054.8
Andaman & Nicobar Islands,1965,11.8,30.4,25.3,51,292.3,408.8,392.1,396.6,576.8,290.5,187.9,500.4,67.5,752.1,1365.5,978.8,3163.9
Andaman & Nicobar Islands,1966,79.8,4.2,12,38.7,376.9,148.8,433.5,335.6,454.1,171.9,333.8,311.9,96,564.4,1223.2,817.6,2701.2
Andaman & Nicobar Islands,1967,164.6,21.6,30,63.4,516.4,340.8,537.8,614.3,303.5,427.5,99.7,97,216.2,920.6,1455.6,624.2,3216.6
Andaman & Nicobar Islands,1968,22.1,1.3,4.2,81.5,297.6,545.2,519.3,242,496.8,281.6,152,119.2,27.6,924.3,1258.1,552.8,2762.8
Andaman & Nicobar Islands,1969,106.3,64.7,14.6,20.8,317.3,422.8,345.2,281.4,489.8,146.8,343.7,65.8,185.6,760.9,1116.4,556.3,2619.2
Andaman & Nicobar Islands,1970,72.2,34,7.8,58.2,422.7,407.3,564.6,342.9,423.5,386.6,418.4,232.7,114,888.2,1331,1037.7,3370.9
Andaman & Nicobar Islands,1971,41.5,32.8,37.7,35.3,398,394.6,421.1,327.9,470.2,505.3,178.4,155.9,112,827.9,1219.2,839.6,2998.7
Andaman & Nicobar Islands,1972,13.7,1.7,7.5,178.3,420.2,470,544.6,384.9,444.5,263.8,413.9,180,22.9,1068.5,1374,857.7,3323.1
Andaman & Nicobar Islands,1973,18.1,20.3,30.5,29.6,418.6,488.6,371.4,370.3,357.5,247.2,349.8,289.1,68.9,936.8,1099.2,886.1,2991
Andaman & Nicobar Islands,1974,22.2,43.9,17.2,301.4,353.3,343.8,257.1,456.2,321.6,398.4,372.2,74.8,83.3,998.5,1034.9,845.4,2962.1
